,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Rom,Tomteareal,Kommunale avg.,Bruttoareal,Tomt,Grunnflate,Renovert år,Boligselgerforsikring,Pris med fellesgjeld,Utleiedel
831,https://www.finn.no/realestate/homes/ad.html?finnkode=204993526,Lys og romslig 3-roms - Rehabilitert bad fra 2019 - Kan enkelt gjøres om til 4-roms - Garasjeplass - Inglasset balkong,"Odvar Solbergs vei 8, 0970 Oslo",2600000,Leilighet,Andel,2,81 m²,93.0,4,1972,D -rød,399 000 kr,15 554 kr,3014554.0,5 555 kr,,,,,,,,,,
832,https://www.finn.no/realestate/homes/ad.html?finnkode=204723321,Idyllisk beliggende enebolig i rekke m/garasje og nyere terrasse. Parkmessig flott felleseiendom med tilg. til badeplass,"Arkitekt Steckmests vei 6C, 0198 Oslo",10500000,Enebolig,Eier (Selveier),4,169 m²,189.0,,1976,F -rød,,278 170 kr,10778170.0,,,207 m² (eiet),14 481 kr per år,,,,,,,
833,https://www.finn.no/realestate/homes/ad.html?finnkode=147146027,Luksuriøs leilighet i praktfull byvilla totalrenovert i 2016 - Eksklusiv standard - 2 bad og 2 stuer - Parkering,"Drammensveien 41, 0271 Oslo",16900000,Leilighet,Eier (Selveier),2,147 m²,149.0,1,1907,G -mørkegrønn,,434 042 kr,17334042.0,6 405 kr,,,,,,,,,,
834,https://www.finn.no/realestate/homes/ad.html?finnkode=203801054,"Lys og trivelig 1(2)-roms i høy 1. etasje - Bad 2013 - Nymalte overflater - ""Alt"" inkl. i fellekost. - Lave kjøpsomk.","Griffenfeldts gate 17B, 0460 Oslo",3150000,Leilighet,Andel,0,33 m²,33.0,1,1938,C -gul,139 000 kr,1 132 kr,3290132.0,3 515 kr,,,,,,,,,,
835,https://www.finn.no/realestate/homes/ad.html?finnkode=204039721,"Lekker 3-roms selveierleilighet med stor terrasse på ca.9,5 kvm.| Heis | Garasjeplass m/EL-billader | Populært område |","Ivan Bjørndals gate 4, 0472 Oslo",6300000,Leilighet,Eier (Selveier),2,82 m²,82.0,1,2002,D -rød,52 489 kr,169 851 kr,6522340.0,3 125 kr,,,,,,,,,,
836,https://www.finn.no/realestate/homes/ad.html?finnkode=203825068,Stor og innholdsrik 3-roms på hele 96 m² BRA! Garasjeplass - Balkong på 12 m² - Barnevennlig beliggenhet - Rett v/sentre,"Dragonstien 99, 1062 Oslo",3250000,Leilighet,Andel,2,84 m²,96.0,1,1980,F -rød,384 000 kr,8 658 kr,3642658.0,4 950 kr,,,,,,,,,,
837,https://www.finn.no/realestate/homes/ad.html?finnkode=184931301,"Garasjeplass med ladeboks, i lukket garasjeanlegg","Breigata 4, 0187 Oslo",575000,Garasje/Parkering,Eier (Selveier),0,12 m²,12.0,,1991,,,15 000 kr,590000.0,500 kr,,,,,,,,,,
838,https://www.finn.no/realestate/homes/ad.html?finnkode=203892442,"Lys, pen og gjennomgående 3-roms leilighet med balkong - Flott utsikt - Ingen forkjøpsrett - Varmtvann/fyring inkl.!","Nordlisletta 20, 0952 Oslo",2950000,Leilighet,Andel,2,66 m²,66.0,2,1957,D -mørkegrønn,314 000 kr,8 060 kr,3272060.0,5 334 kr,,,,,,,,,,
839,https://www.finn.no/realestate/homes/ad.html?finnkode=193321731,Stor 3(4)-roms hjørneleilighet med veranda på 13 kvm. | Panoramautsikt | 2 bad | 2 garasjeplasser | Peis | Heis,"Ryenbergveien 75B, 0677 Oslo",8950000,Leilighet,Eier (Selveier),2,108 m²,125.0,7,2000,D -rød,,225 092 kr,9175092.0,5 014 kr,,,,,,,,,,
840,https://www.finn.no/realestate/homes/ad.html?finnkode=204551091,"Delikat andelsleilighet med kjøkken fra 2019, trappefri adkomst og varmtvann inkludert. Perfekt førstegangskjøp!","Ulsholtveien 22, 1053 Oslo",2000000,Leilighet,Andel,0,30 m²,30.0,1,1977,F -rød,96 000 kr,8 626 kr,2104626.0,2 615 kr,,,,,,,,,,
841,https://www.finn.no/realestate/homes/ad.html?finnkode=203825204,Lys og attraktiv 2-roms selveier i 4 etasje med nordvest-vendt balkong og heis. Sentral beliggenhet ved Akerselva.,"Lillogata 5K, 0484 Oslo",4500000,Leilighet,Eier (Selveier),1,53 m²,53.0,4,2004,E -rød,,113 842 kr,4613842.0,2 294 kr,,,,,,,,,,
842,https://www.finn.no/realestate/homes/ad.html?finnkode=204211643,Stor og lys 2-roms med balkong på 5m². BRA 67m². Fyring og varmtvann inkl. Ingen dok. avgift. God beliggenhet!,"Ravnåsveien 73, 1254 Oslo",2700000,Leilighet,Andel,1,67 m²,67.0,1,1984,,215 000 kr,8 658 kr,2923658.0,4 701 kr,2,,,,,,,,,
843,https://www.finn.no/realestate/homes/ad.html?finnkode=204638553,"Delikat & lys 1-roms selveierleilighet i 5.etg.inn mot rolig bakgård m/heis| Varmtvann & fyring inkl. |Nærhet til ""alt""","Parkveien 13, 0350 Oslo",2900000,Leilighet,Eier (Selveier),0,27 m²,27.0,5,1931,G -rød,142 000 kr,73 842 kr,3115842.0,2 957 kr,,,,,,,,,,
844,https://www.finn.no/realestate/homes/ad.html?finnkode=181766033,"Herskapelig solrik eiendom BRA 528 kvm, 2,1 mål, utendørs svømmebasseng, 6 sov, 4 bad, ildsteder, vinkjeller, garasjer.","Oberst Angells vei 1, 0787 Oslo",35000000,Enebolig,Eier (Selveier),6,368 m²,528.0,3,1936,G -rød,,892 342 kr,35892342.0,,,,24 802 kr per år,,,,,,,
845,https://www.finn.no/realestate/homes/ad.html?finnkode=194307709,"Stor, ærverdig og klassisk enebolig over 3 plan med tomtepotensial - 8 parkeringsplasser","Glückstads gate 1, 0170 Oslo",39000000,Enebolig,Eier (Selveier),4,214 m²,271.0,,1893,,,990 642 kr,39990642.0,,,395 m² (eiet),18 733 kr per år,319 m²,,,,,,
846,https://www.finn.no/realestate/homes/ad.html?finnkode=204490316,"Tiltalende, moderne 3-roms m/solrik balkong| Garasjepl. m/EL-lader | 2 bad | Nye gulv/overflater | Lave felleskostn.","Veslekroken 3E, 0377 Oslo",5500000,Leilighet,Eier (Selveier),2,65 m²,66.0,3,2003,,,138 842 kr,5638842.0,1 779 kr,3,,,,,,,,,
847,https://www.finn.no/realestate/homes/ad.html?finnkode=192800485,"Lekker, påkostet og innholdsrik bolig med eksklusive løsninger, fantastisk beliggenhet og spektakulær utsikt.","Fiskekroken 4, 0139 Oslo",35000000,Enebolig,Eier (Selveier),6,318 m²,363.0,,1972,C -rød,,890 670 kr,35890670.0,,,1823 m² (eiet),28 722 kr per år,,,,,,,
