,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Tomteareal,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Energimerking,Rom,Kommunale avg.,Pris med fellesgjeld,Grunnflate,Tomt,Bruttoareal,Utleiedel,Solgtpris,Boligselgerforsikring,Renovert år
610,https://www.finn.no/realestate/homes/ad.html?finnkode=203161798,Nyoppusset(2020) og gjennomgående 3-r toppleilighet på 92m² - Peis - Moderne bambuskjøkken m/ stenplate - God bodplass,"Inkognito terrasse 3B, 0256 Oslo",7990000,Leilighet,Eier (Selveier),2,92 m²,92.0,4,1891,,,209 392 kr,8199392.0,3 672 kr,G -lysegrønn,,,,,,,,,,
611,https://www.finn.no/realestate/homes/ad.html?finnkode=204790511,Spennende 1(2)-R oppussingsobjekt - Gangavstand til BI - Kort avstand til T-bane og bussforbindelser - *P-plass mulighet,"Kaj Munks vei 41B, 0876 Oslo",2900000,Leilighet,Eier (Selveier),0,32 m²,32.0,3,1962,,89 880 kr,73 842 kr,3063722.0,2 435 kr,F -rød,,,,,,,,,,
612,https://www.finn.no/realestate/homes/ad.html?finnkode=203857635,Tidløs og klassisk 2-roms - Bad og HTH-kjøkken 2017 - Peis - Originale tregulv - God takhøyde - Stor walk-in-garderobe,"Stockfleths gate 38B, 0461 Oslo",4400000,Leilighet,Andel,1,55 m²,56.0,2,1920,,266 985 kr,8 032 kr,4675017.0,3 832 kr,F -oransje,,,,,,,,,,
613,https://www.finn.no/realestate/homes/ad.html?finnkode=205186796,Superfresh 2-roms med høy standard - Totalrenovert i 2019/2020 - Attraktiv og sentral beliggenhet - Lave fellesutgifter,"Trøndergata 9B, 0477 Oslo",3900000,Leilighet,Andel,1,40 m²,40.0,1,1918,,174 000 kr,1 132 kr,4075132.0,2 731 kr,G -rød,,,,,,,,,,
614,https://www.finn.no/realestate/homes/ad.html?finnkode=204891726,Nyoppusset (20/21) og lekker 3-roms med separat IKEA kjøkken (21) - Solrik balkong - Bad fra 2005 i regi av brl.,"Øivinds vei 22, 0590 Oslo",3800000,Leilighet,Andel,2,67 m²,67.0,,1955,16486 m² (eiet),156 722 kr,15 460 kr,3972182.0,5 239 kr,G -mørkegrønn,,,,,,,,,,
615,https://www.finn.no/realestate/homes/ad.html?finnkode=124358495,Ullern stor garasjeplass i fellesanlegg til salgs,"Ullernchausseen 116-118, 0284 Oslo",350000,Garasje/Parkering,Eier (Selveier),0,20 m²,20.0,,2005,,,,,225 kr,,,,,,,,,,,
616,https://www.finn.no/realestate/homes/ad.html?finnkode=204669847,Stilig 2-roms med sørvestvendt utsiktsbalkong og garasjeplass! | Varmtvann&fyring (A-konto) + TV/internett inkl.,"Kantarellen terrasse 18, 1286 Oslo",2490000,Leilighet,Andel,1,60 m²,63.0,2,1988,,227 960 kr,8 914 kr,2726874.0,6 541 kr,F -mørkegrønn,,,,,,,,,,
617,https://www.finn.no/realestate/homes/ad.html?finnkode=204944885,"Boligen er solgt for kr. 3 400 000,- Bud direkte til selger.","Nåkkves vei 1, 0670 Oslo",2990000,Leilighet,Andel,1,43 m²,43.0,2,1967,,309 000 kr,8 060 kr,3307060.0,3 243 kr,B -lysegrønn,,,,,,,,,,
618,https://www.finn.no/realestate/homes/ad.html?finnkode=205084497,"Rålekker, klassisk 3-R leilighet - Rosett/stukkatur - Vinduer fra 2018 - Nyere kjøkken - To ildsteder - Garasjeplass*","Bergensgata 10A, 0468 Oslo",5500000,Leilighet,Andel,2,68 m²,68.0,2,1896,,269 011 kr,8 957 kr,5777968.0,4 149 kr,G -oransje,,,,,,,,,,
619,https://www.finn.no/realestate/homes/ad.html?finnkode=203728119,Lys og romslig 3-roms andelsleilighet med to balkonger | Garasjeplass med ladeboks til El-bil | Varmtvann inkl. i F.K,"Vestre Haugen 56, 1054 Oslo",3100000,Leilighet,Andel,2,81 m²,92.0,2,1978,,388 000 kr,8 626 kr,3496626.0,5 106 kr,D -rød,,,,,,,,,,
