,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Tomt,Tomteareal,Kommunale avg.,Bruttoareal,Rom,Renovert år,Boligselgerforsikring,Pris med fellesgjeld,Grunnflate,Festeavgift,Utleiedel
36,https://www.finn.no/realestate/homes/ad.html?finnkode=205482378,Ny lekker 3 roms selveier i 5. etg. med balkong og mulighet for p plass - Heis og flott utsikt,"Kristian IV`s gate 21, 4610 Kristiansand S",4200000,Leilighet,Eier (Selveier),2,52 m²,52.0,5,2020,,,,,2 224 kr,,5086 m² (eiet),,,,,,,,,
37,https://www.finn.no/realestate/homes/ad.html?finnkode=205510955,Sentrumsnær selveierleilighet - sjøgløtt - parkering til en bil på egen tomt - nytt bad og kjøkken,"Stinta terrasse 11B, 4838 Arendal",1550000,Leilighet,Eier (Selveier),1,64 m²,82.0,2,1954,G -gul,,50 320 kr,1600320.0,322 kr,,,15 737 kr per år,,,,,,,,
38,https://www.finn.no/realestate/homes/ad.html?finnkode=194070717,Påmeldingsvisning søn. 31/1 kl. 13 - Enebolig med utleiemulighet beliggende på romslig tomt - Frittliggende anneks -,"Fagerliveien 6, 4820 Froland",2190000,Enebolig,Eier (Selveier),,153 m²,159.0,,1970,F -oransje,,70 420 kr,2260420.0,,,1718 m² (eiet),6 003 kr per år,174 m²,,,,,,,
39,https://www.finn.no/realestate/homes/ad.html?finnkode=189844966,Nyere enebolig i kjede. Solcellepanel. Garasje. 4 soverom og 2 bad.,"Kjæråsen 90, 4887 Grimstad",3200000,Enebolig,Eier (Selveier),4,126 m²,153.0,2,2016,B -gul,,81 170 kr,3281170.0,,,,18 168 kr per år,,,,,,,,
40,https://www.finn.no/realestate/homes/ad.html?finnkode=205472188,"Rykene - Nyere 3-roms eierleilighet med stor terrasse, utsikt og gode solforhold","Klokkerveien 11a, 4821 Rykene",1750000,Leilighet,Eier (Selveier),2,54 m²,58.0,1,2017,,,55 292 kr,1805292.0,200 kr,,,10 614 kr per år,,3,,,,,,
41,https://www.finn.no/realestate/homes/ad.html?finnkode=205493147,Næringsseksjon i Vanse sentrum på gateplan.,"Olav Selvaags vei 24, 4560 Vanse",1200000,Andre,Eier (Selveier),0,79 m²,79.0,1,,,,31 170 kr,1231170.0,500 kr,,1175 m² (eiet),6 266 kr per år,89 m²,,,,,,,
42,https://www.finn.no/realestate/homes/ad.html?finnkode=205478963,Kvadraturen / Kvartal 35 | Lys 2-roms leilighet | Nyere kjøkken | Felles bakgård og takterrasse,"Tollbodgata 73 B, 4614 Kristiansand S",990000,Leilighet,Andel,1,40 m²,40.0,2,1887,,407 408 kr,12 757 kr,1410165.0,4 031 kr,,2799 m² (eiet),,,,,,,,,
43,https://www.finn.no/realestate/homes/ad.html?finnkode=205495792,Nyere (2014) 3-roms toppleilighet med gjennomgående god standard | Veranda | Heis | P-plass,"Gimleveien 40, 4630 Kristiansand S",3250000,Leilighet,Eier (Selveier),2,57 m²,57.0,4,2014,,,82 592 kr,3332592.0,2 586 kr,,,4 444 kr per år,,3,,,,,,
44,https://www.finn.no/realestate/homes/ad.html?finnkode=205508605,Grim/Dalane - Pen og moderne selveierleilighet med solrik veranda og hage - Garasje - Sentrumsnært,"Dalaneveien 25, 4617 Kristiansand S",1490000,Leilighet,Eier (Selveier),1,54 m²,54.0,1,1938,,,45 692 kr,1535692.0,1 000 kr,,878 m² (eiet),7 425 kr per år,,,,,,,,
45,https://www.finn.no/realestate/homes/ad.html?finnkode=205494251,Velholdt enebolig med frittliggende garasje i landlige omgivelser - Pent opparbeidet tomt,"Strømslandsveien 71, 4957 Risør",1800000,Enebolig,Eier (Selveier),3,149 m²,164.0,,1974,E -gul,,60 670 kr,1860670.0,,,1333 m² (eiet),10 798 kr per år,,,,,,,,
